,1,2,3,4,5,6
573,8,11,22,29,30,32
574,7,13,15,19,28,36
575,5,7,11,12,28,34
576,2,9,11,13,19,28
577,1,3,29,30,32,37
578,2,9,13,17,21,26
579,19,26,30,31,33,35
580,5,7,11,14,23,36
581,8,10,18,23,29,30
582,5,9,10,12,34,35
583,8,10,14,17,25,34
584,1,3,11,15,26,32
585,1,8,19,22,34,35
586,9,20,22,23,27,32
587,12,13,16,20,21,32
588,18,21,23,25,27,34
589,1,13,26,31,34,37
590,7,10,21,27,33,36
591,2,4,10,14,23,28
592,6,10,18,23,33,36
593,4,8,11,29,34,35
594,2,14,18,23,30,32
595,10,12,22,23,30,37
596,4,6,9,12,32,36
597,4,6,7,10,11,18
598,5,11,16,18,23,26
599,13,15,26,27,29,37
600,6,7,12,22,23,28
601,2,10,11,22,28,33
602,5,11,12,18,28,35
603,1,7,11,22,24,34
604,1,23,26,31,33,37
605,3,10,11,20,24,30
606,1,2,3,13,22,30
607,2,9,17,23,27,31
608,2,5,8,20,22,28
609,5,6,11,13,21,30
610,7,8,10,19,27,37
611,22,24,28,29,30,33
612,3,25,26,30,31,34
613,9,11,15,22,28,32
614,4,11,13,24,25,34
615,1,2,3,10,16,37
616,5,10,12,19,20,25
617,2,6,9,13,35,37
618,5,6,10,12,18,26
619,1,3,5,17,18,26
620,2,5,11,12,15,33
621,4,5,11,16,18,20
622,17,19,20,27,29,33
623,5,13,15,23,28,35
624,2,6,17,21,30,35
625,5,21,22,25,32,36
626,9,16,22,26,28,37
627,7,13,16,17,29,34
628,3,6,11,16,26,34
629,3,12,15,20,23,26
630,7,11,23,30,32,34
631,6,11,13,29,32,34
632,2,6,12,18,26,28
633,1,3,12,23,28,31
634,4,6,7,10,20,28
635,3,6,17,18,34,36
636,6,7,8,17,18,29
637,3,18,19,29,36,37
638,7,9,25,30,31,36
639,3,9,11,12,28,35
640,3,6,10,11,26,29
641,2,10,15,17,25,33
642,10,18,27,30,32,37
643,6,7,18,21,26,33
644,15,20,27,28,29,37
645,4,8,13,17,28,33
646,6,10,14,20,31,37
647,6,16,21,25,32,33
648,1,6,8,17,19,24
649,16,22,27,29,33,36
650,20,23,27,28,30,34
651,1,8,10,12,29,34
652,1,6,23,33,34,36
653,6,8,24,28,30,35
654,3,6,9,14,16,35
655,1,6,7,12,34,35
656,23,25,28,30,31,34
657,2,3,12,22,25,27
658,15,20,24,25,29,30
659,8,15,21,23,29,37
660,6,18,26,31,34,37
661,12,18,20,23,25,37
662,4,5,11,27,32,37
663,2,4,12,28,30,32
664,1,2,15,28,29,32
665,3,10,18,20,24,33
666,5,16,20,24,29,34
667,6,8,11,23,25,32
668,2,4,5,9,12,27
669,9,20,21,24,25,37
670,5,6,9,11,15,23
671,7,12,15,18,23,28
672,13,20,25,28,29,30
673,3,6,13,15,28,31
674,1,8,14,21,25,31
675,1,3,22,26,29,36
676,5,10,15,22,25,33
677,12,13,25,27,31,33
678,5,8,10,26,29,35
679,6,17,28,30,32,33
680,6,8,12,14,28,34
681,20,22,29,31,32,33
682,13,17,26,31,35,37
683,4,7,11,12,15,37
684,6,9,21,31,34,35
685,4,10,17,23,28,37
686,1,5,26,31,34,35
687,12,14,19,27,31,34
688,6,7,11,12,23,30
689,7,10,14,17,27,29
690,3,10,20,22,33,37
691,3,5,8,11,22,33
692,9,18,22,24,27,34
693,11,21,22,24,26,30
694,4,8,15,24,36,37
695,19,20,21,24,34,35
696,8,9,14,22,32,33
697,2,3,8,11,26,29
698,2,9,17,19,34,35
699,4,7,10,20,22,26
700,6,12,23,25,26,35
701,4,19,22,28,31,33
702,3,5,10,13,26,27
703,8,18,21,22,26,33
704,10,11,14,17,19,26
705,1,9,14,15,19,25
706,10,13,15,22,32,33
707,2,8,17,20,27,31
708,1,3,8,10,11,31
709,8,13,27,28,30,36
710,3,20,24,27,32,37
711,5,6,18,19,21,36
712,1,7,11,15,20,30
713,2,7,11,23,25,29
714,5,6,7,16,17,33
715,19,21,24,25,30,36
716,4,8,11,13,24,32
717,9,20,27,28,30,34
718,2,8,10,16,18,27
719,3,6,12,25,28,36
720,4,7,10,22,27,36
721,7,11,18,21,25,29
722,5,6,7,24,27,32
723,4,5,16,24,33,34
724,6,14,15,18,22,36
725,13,15,21,23,30,36
726,14,15,16,24,32,36
727,3,8,10,11,26,36
728,3,10,13,18,25,26
729,3,11,22,24,33,36
730,13,20,26,30,31,34
731,11,13,18,20,25,29
732,10,11,17,19,26,30
733,3,8,9,12,27,33
734,5,7,13,15,18,23
735,1,6,18,24,28,35
736,3,27,28,30,31,35
737,6,8,14,19,20,37
738,16,18,19,30,31,32
739,12,15,17,18,22,26
740,5,12,16,22,27,31
741,4,22,24,25,26,29
742,1,6,11,14,17,27
743,5,8,11,16,22,29
744,10,13,16,17,26,34
745,8,9,12,13,29,34
746,3,9,14,15,21,22
747,5,7,10,15,26,37
748,14,15,19,31,34,35
749,5,6,9,17,24,31
750,1,3,6,27,29,33
751,11,13,27,30,32,34
752,8,10,12,24,25,29
753,5,8,21,28,31,35
754,1,3,4,10,16,17
755,1,2,10,12,26,29
756,4,12,16,28,29,31
757,8,9,15,21,26,29
